guideId,outletId,originType,originId,transportationType,title,estimatedDuration,estimatedCost,recommended,steps,updatedAt
jr-kisarazu-station-to-mitsui-outlet-park-kisarazu-bus,mitsui-outlet-park-kisarazu,station,jr-kisarazu-station,bus,JR Kisarazu Station to Mitsui Outlet Park Kisarazu by local bus,Approx. 20 min; traffic varies,JPY 360 cash / JPY 356 IC one way adult,true,"[{""order"":1,""description"":""Exit JR Kisarazu Station toward the West Exit.""},{""order"":2,""description"":""Find the local Mitsui Outlet Park Kisarazu service.""},{""order"":3,""description"":""Use cash or compatible transportation IC card.""},{""order"":4,""description"":""Ride approximately 20 minutes.""},{""order"":5,""description"":""Alight at the outlet.""}]",2026-08-10
narita-airport-to-shisui-premium-outlets-direct-bus,shisui-premium-outlets,airport,narita-international-airport,bus,Narita International Airport to Shisui Premium Outlets by direct bus,Approx. 15–20 min,JPY 500 one way adult,true,"[{""order"":1,""description"":""At Narita Airport Terminal 2, use the 1F No.3 bus stop; at Terminal 1, use the 1F No.30 bus stop.""},{""order"":2,""description"":""Board the direct bus for Shisui Premium Outlets.""},{""order"":3,""description"":""Pay JPY 500 one way; contactless credit-card payment is available on the official service.""},{""order"":4,""description"":""Ride approximately 20 minutes directly to Shisui Premium Outlets.""},{""order"":5,""description"":""Confirm the current timetable before travel because seats cannot be reserved.""}]",2026-08-14
tokyo-station-to-shisui-premium-outlets-direct-bus,shisui-premium-outlets,station,tokyo-station,bus,Tokyo Station to Shisui Premium Outlets by direct bus,Approx. 50 min; traffic may affect travel time,"JPY 1,300 one way adult",true,"[{""order"":1,""description"":""Go to Bus Terminal Tokyo Yaesu, bus stop A02.""},{""order"":2,""description"":""Board the direct bus for Shisui Premium Outlets.""},{""order"":3,""description"":""Pay JPY 1,300 one way adult fare.""},{""order"":4,""description"":""Ride approximately 50 minutes directly to the outlet.""},{""order"":5,""description"":""Confirm the current timetable before travel because seats cannot be reserved.""}]",2026-08-14
sannomiya-to-kobe-sanda-premium-outlets-direct-bus,kobe-sanda-premium-outlets,city_center,sannomiya-station,bus,Sannomiya Station to Kobe-Sanda Premium Outlets by direct Shinki Bus,Approx. 50 min; some services may take longer,JPY 700 one way adult; JPY 350 child,true,"[{""order"":1,""description"":""Go to Shinki Bus Kobe-Sannomiya Bus Terminal.""},{""order"":2,""description"":""Board the direct Shinki Bus for Kobe-Sanda Premium Outlets.""},{""order"":3,""description"":""Pay JPY 700 one way for an adult or JPY 350 for a child.""},{""order"":4,""description"":""Ride approximately 50 minutes; some services may operate via intermediate points.""},{""order"":5,""description"":""Alight at Kobe-Sanda Premium Outlets and confirm the current return timetable before shopping.""}]",2026-08-14
kansai-airport-to-kobe-sanda-premium-outlets-bus,kobe-sanda-premium-outlets,airport,kansai-international-airport,bus,Kansai International Airport to Kobe-Sanda Premium Outlets via Kobe Sannomiya,Approx. 2 hr - 2 hr 20 min including transfer; traffic and connection time vary,"Approx. JPY 2,900 one way adult",true,"[{""order"":1,""description"":""At Kansai International Airport, board the Airport Limousine Bus for Kobe Sannomiya.""},{""order"":2,""description"":""The airport limousine segment takes approximately 65 minutes and costs JPY 2,200 one way adult.""},{""order"":3,""description"":""At Kobe Sannomiya, transfer to the Shinki Bus for Kobe-Sanda Premium Outlets.""},{""order"":4,""description"":""The outlet bus takes approximately 50 minutes and costs JPY 700 one way adult.""},{""order"":5,""description"":""Allow transfer time and confirm both current timetables before travel.""}]",2026-08-14
tokyo-station-to-sano-premium-outlets-direct-bus,sano-premium-outlets,station,tokyo-station,bus,Tokyo Station to Sano Premium Outlets by direct Marronnier highway bus,Approx. 90 min; traffic may affect travel time,"JPY 1,600 one way adult",true,"[{""order"":1,""description"":""Go to the JR highway-bus boarding area at Tokyo Station Yaesu South Exit.""},{""order"":2,""description"":""Board the Marronnier Tokyo highway bus for Sano Shintoshin Bus Terminal.""},{""order"":3,""description"":""Pay JPY 1,600 one way adult fare.""},{""order"":4,""description"":""Ride approximately 90 minutes to Sano Shintoshin Bus Terminal; traffic may affect travel time.""},{""order"":5,""description"":""From the bus terminal, walk approximately 3 minutes to Sano Premium Outlets.""}]",2026-08-14
haneda-airport-to-sano-premium-outlets-direct-bus,sano-premium-outlets,airport,haneda-airport,bus,Haneda Airport to Sano Premium Outlets by direct Marronnier airport bus,"Approx. 2 hr; service, terminal and traffic conditions may vary","JPY 4,600 one way adult; JPY 2,300 child",true,"[{""order"":1,""description"":""At Haneda Airport, use the current Marronnier airport-bus boarding point for your terminal.""},{""order"":2,""description"":""Board the direct Kanto Bus / Airport Limousine service for Sano Shintoshin Bus Terminal.""},{""order"":3,""description"":""Pay JPY 4,600 one way for an adult or JPY 2,300 for a child.""},{""order"":4,""description"":""Allow approximately 2 hours; scheduled journey time varies by terminal and service and traffic may cause delays.""},{""order"":5,""description"":""Alight at Sano Shintoshin Bus Terminal and walk approximately 3 minutes to Sano Premium Outlets.""}]",2026-08-14
shanghai-metro-to-shanghai-village,shanghai-village,station,disney-resort-station,metro,Metro Line 11 and Resort Shuttle Bus 1 to Shanghai Village,Metro time depends on journey origin; the official source does not publish a shuttle schedule,Metro fare depends on journey origin; the official source does not publish the shuttle fare,true,"[{""order"":1,""description"":""Take Shanghai Metro Line 11 to Disney Resort Station.""},{""order"":2,""description"":""Use Exit 4.""},{""order"":3,""description"":""Board Resort Shuttle Bus 1.""},{""order"":4,""description"":""Alight at Bicester Village station.""},{""order"":5,""description"":""Follow the signed access to Shanghai Village.""}]",2026-08-12
central-shanghai-to-shanghai-village-taxi,shanghai-village,city_center,central-shanghai,taxi,Central Shanghai to Shanghai Village by taxi or ride-hailing,Approximately 45 minutes from central Shanghai; traffic may vary,"Metered or app fare varies with traffic, origin and demand",true,"[{""order"":1,""description"":""Request a taxi or ride-hailing vehicle in central Shanghai.""},{""order"":2,""description"":""Set Shanghai Village, 88 Shendi East Road, as the destination.""},{""order"":3,""description"":""Confirm the destination before departure.""},{""order"":4,""description"":""Alight at the Shanghai Village passenger drop-off area.""}]",2026-08-12
pvg-to-shanghai-village-taxi,shanghai-village,airport,pvg,taxi,PVG to Shanghai Village by taxi or ride-hailing,Approximately 20 minutes; traffic may vary,Metered or app fare varies with traffic and demand,true,"[{""order"":1,""description"":""At PVG, follow signs to the official taxi rank or request a ride-hailing pickup.""},{""order"":2,""description"":""Set Shanghai Village, 88 Shendi East Road, as the destination.""},{""order"":3,""description"":""Confirm the destination before departure.""},{""order"":4,""description"":""Alight at the Shanghai Village passenger drop-off area.""}]",2026-08-12
barberino-florence-smn-shuttle,barberino,city_center,florence-city-center,shuttle,Florence SMN to Barberino Outlet by Official Shuttle,≈30–40 min (estimated); check official timetable,Estimated €13–20 return; check current official ticket details,true,"[{""order"":1,""description"":""Open Barberino's official shuttle information and confirm the current Florence schedule, ticket rules, and return departures before you travel.""},{""order"":2,""description"":""Go to Firenze Santa Maria Novella and reach the MySightseeing/Sightseeing Visitor Center meeting point in the station ticket-hall area at least 15–20 minutes before departure.""},{""order"":3,""description"":""Board the official shuttle to Barberino Designer Outlet and keep your ticket or booking available for inspection.""},{""order"":4,""description"":""On arrival, follow the outlet signs from the shuttle stop to Guest Services and the shops.""},{""order"":5,""description"":""Before shopping, confirm the same-day return shuttle time and boarding point so you do not miss the last service back to Florence.""}]",2026-07-02
barberino-bologna-weekend-shuttle,barberino,city_center,bologna-city-center,shuttle,Bologna Bus Station to Barberino Outlet by Official Weekend Shuttle,≈60–75 min (estimated); check official timetable,Check official ticket details,false,"[{""order"":1,""description"":""Confirm on Barberino's official access page that the Bologna shuttle is operating on your date; it is normally a limited Saturday, Sunday, and public-holiday service.""},{""order"":2,""description"":""Buy the ticket through the official booking link before travel, because on-board availability is not guaranteed.""},{""order"":3,""description"":""Go to Bologna Autostazione at Piazza XX Settembre 6, next to Bologna Centrale, and use the platform shown on the current ticket or timetable.""},{""order"":4,""description"":""Take the direct shuttle to Barberino Designer Outlet and follow signs from the coach stop to the shopping area.""},{""order"":5,""description"":""Confirm the fixed return departure from Barberino before shopping, allowing extra time to reach the coach stop.""}]",2026-07-02
barberino-florence-airport-car,barberino,airport,florence-airport,taxi,"Florence Airport to Barberino Outlet by Taxi, Rental Car, or Private Transfer",≈25–40 min (estimated),Confirm with provider,false,"[{""order"":1,""description"":""From Florence Airport, use a licensed taxi, rental car, or pre-booked private transfer; confirm the fare and luggage space before departure.""},{""order"":2,""description"":""Travel north toward Barberino di Mugello, following motorway or road signs for Barberino Designer Outlet.""},{""order"":3,""description"":""Use the outlet parking areas if driving, or agree a drop-off point close to the main entrance with your driver.""},{""order"":4,""description"":""If returning to the airport, pre-arrange the pickup time before shopping and allow extra time for A1 traffic.""},{""order"":5,""description"":""For a lower-cost public option, first reach Firenze Santa Maria Novella and use the official outlet shuttle from the station area.""}]",2026-07-02
barberino-florence-car-parking,barberino,city_center,florence-city-center,taxi,Florence to Barberino Outlet by Car with Outlet Parking,≈30–45 min (estimated),≈€8–15 fuel/tolls each way (estimated); taxi/private transfer confirm with provider,false,"[{""order"":1,""description"":""Leave central Florence toward the A1 northbound and follow signs for Barberino di Mugello and Barberino Designer Outlet.""},{""order"":2,""description"":""Use the official outlet parking on arrival; note your parking area before entering the shops.""},{""order"":3,""description"":""If using a taxi or private transfer, confirm the fare, waiting policy, and exact return pickup location before leaving the vehicle.""},{""order"":4,""description"":""For the return, allow extra time at weekends, during sales, and around Florence evening traffic.""}]",2026-07-02
castel-romano-termini-shuttle,castel-romano,city_center,rome-city-center,shuttle,Rome Termini to Castel Romano by Official Shuttle,About 30 min by road; check official timetable,€18 adult return; check current official ticket conditions,true,"[{""order"":1,""description"":""Check Castel Romano's official shuttle page for current Termini times, ticket conditions, and return departures.""},{""order"":2,""description"":""Go to the Termini departure point at Via Giolitti 48 and arrive early enough for boarding.""},{""order"":3,""description"":""Board the official shuttle to Castel Romano Designer Outlet at Via Ponte di Piscina Cupa 64.""},{""order"":4,""description"":""On arrival, follow signs from the shuttle stop to the main entrance and Guest Services.""},{""order"":5,""description"":""Before shopping, confirm the return shuttle departure to Termini and keep your ticket available.""}]",2026-07-02
castel-romano-eur-fermi-shuttle,castel-romano,city_center,rome-eur-fermi,shuttle,EUR Fermi to Castel Romano by Official Shuttle,≈25–35 min (estimated); check official timetable,€13 round trip adult; under-25 EUR Fermi shuttle noted as free by outlet services; confirm official ticket details,false,"[{""order"":1,""description"":""Check the official Castel Romano shuttle timetable for the EUR Fermi route on your shopping date.""},{""order"":2,""description"":""Go to the EUR Fermi departure point on Viale America 266, above EUR Fermi metro station.""},{""order"":3,""description"":""Board the official shuttle to Castel Romano Designer Outlet and keep your booking or ticket ready.""},{""order"":4,""description"":""Get off at the outlet stop and follow signs to the shops.""},{""order"":5,""description"":""Confirm the same-day return departures to EUR Fermi before shopping.""}]",2026-07-02
castel-romano-airport-car,castel-romano,airport,rome-airports,taxi,"Rome Airports to Castel Romano by Taxi, Rental Car, or Private Transfer",≈20–35 min from Ciampino or ≈25–45 min from Fiumicino (estimated),Confirm with provider,false,"[{""order"":1,""description"":""From Fiumicino or Ciampino, choose a licensed taxi, rental car, or pre-booked transfer and confirm the fare, luggage space, meeting point, and return pickup.""},{""order"":2,""description"":""Travel toward Castel Romano; the outlet's official access guidance notes routes from Rome via Via Pontina or Via di Trigoria.""},{""order"":3,""description"":""Use the outlet parking areas if driving, or agree a drop-off point at Via Ponte di Piscina Cupa 64.""},{""order"":4,""description"":""If connecting to a flight after shopping, book the return pickup before entering the outlet and allow a traffic buffer.""},{""order"":5,""description"":""If avoiding a direct road transfer, first reach Rome city center and use the official Termini or EUR Fermi shuttle.""}]",2026-07-02
castel-romano-rome-car-parking,castel-romano,city_center,rome-city-center,taxi,Rome to Castel Romano by Car with Outlet Parking,About 30 min by road,≈€8–15 fuel/tolls each way (estimated); taxi/private transfer confirm with provider,false,"[{""order"":1,""description"":""Leave Rome toward Castel Romano using Via Pontina or Via di Trigoria, as indicated by the outlet's official access page.""},{""order"":2,""description"":""Drive to Via Ponte di Piscina Cupa 64 and follow the outlet signs for visitor parking.""},{""order"":3,""description"":""Park in the outlet car parks and note the area or entrance for your return.""},{""order"":4,""description"":""For taxi or private transfer, confirm the fare and exact return pickup point before leaving the vehicle.""},{""order"":5,""description"":""Allow additional time for Rome ring-road, Pontina, and weekend shopping traffic on the return.""}]",2026-07-02
fidenza-milan-shopping-express,fidenza-village,city_center,milan-city-center,shuttle,Milan to Fidenza Village by Official Shopping Express,90 min each way,€10 adult fare; children 5–11 €5 and ages 0–4 free; check current booking conditions,true,"[{""order"":1,""description"":""Book the official Fidenza Village Shopping Express and confirm the timetable; tickets must be purchased at least five minutes before departure.""},{""order"":2,""description"":""Go to Piazza della Repubblica 5, at the corner with Via Turati and in front of the newsstand near MM3, at least 15 minutes before the 9:45 departure.""},{""order"":3,""description"":""Board the Shopping Express to Fidenza Village; the official schedule shows arrival at 11:15.""},{""order"":4,""description"":""On arrival, follow Village signs from the coach stop to the entrance and Concierge/Guest Services.""},{""order"":5,""description"":""Use the official 17:00 return from Fidenza Village, with arrival at Piazza della Repubblica around 18:30 subject to traffic.""}]",2026-07-02
fidenza-train-local-transfer,fidenza-village,station,fidenza-station,train,Fidenza Station to Fidenza Village by Local Transfer,≈10–15 min from Fidenza station by local transfer (estimated); rail time varies by origin,≈€8–15 local taxi (estimated); rail fare check official rail timetable,false,"[{""order"":1,""description"":""Use the official rail timetable to travel to Fidenza station from Milan, Bologna, Parma, or your starting city.""},{""order"":2,""description"":""At Fidenza station, use the station taxi rank or confirm the current local bus/transfer option to Via Federico Fellini 1 before leaving the station area.""},{""order"":3,""description"":""Continue to Fidenza Village and ask the driver or local provider where the return pickup will be.""},{""order"":4,""description"":""Before shopping, check the last practical return transfer to Fidenza station and your onward train.""}]",2026-07-02
fidenza-airports-via-milan,fidenza-village,airport,milan-airports,shuttle,Milan Airports to Fidenza Village via Milan Shopping Express,≈3–4 hr total one way including airport-city transfer and Shopping Express (estimated),Shopping Express €10 adult plus official airport transfer fare,false,"[{""order"":1,""description"":""From Malpensa, Linate, or Bergamo, use the official airport train or coach connection to reach central Milan.""},{""order"":2,""description"":""Allow enough buffer to reach Piazza della Repubblica 5 at least 15 minutes before the official Shopping Express departure.""},{""order"":3,""description"":""Take the booked Shopping Express to Fidenza Village.""},{""order"":4,""description"":""For the return, confirm the Shopping Express arrival in Milan and book an onward official airport connection that leaves enough time for traffic and check-in.""},{""order"":5,""description"":""If the coach timing does not fit your flight, use the official chauffeur/private-transfer contact or a rail route confirmed through official operators.""}]",2026-07-02
fidenza-milan-car-parking,fidenza-village,city_center,milan-city-center,taxi,Milan to Fidenza Village by Car with Free Parking,≈70–90 min (estimated),≈€8–15 fuel/tolls each way (estimated); chauffeur/private transfer confirm with provider,false,"[{""order"":1,""description"":""Drive from Milan toward Fidenza Village at Via Federico Fellini 1, 43036 Fidenza.""},{""order"":2,""description"":""Use the Village's official free parking; electric car charging points are also noted by the Village.""},{""order"":3,""description"":""If using the official chauffeur/private-transfer option, contact Concierge at least 24 hours in advance and confirm pickup, fare, and return details.""},{""order"":4,""description"":""For the return to Milan, allow extra time for motorway traffic and sales-period congestion.""}]",2026-07-02
la-reggia-naples-shuttle,la-reggia,city_center,naples-city-center,shuttle,Naples to La Reggia by Official Shuttle Service,≈45–70 min (estimated); check official timetable,Check official ticket details,false,"[{""order"":1,""description"":""Open La Reggia's official plan-your-visit page and confirm the Naples shuttle timetable and pickup points for your date.""},{""order"":2,""description"":""Use the official Naples stop shown for your departure, such as central Naples/port/hotel pickup points if listed in the current schedule.""},{""order"":3,""description"":""Board the shuttle to La Reggia Designer Outlet at S.P. 336 ex-Sannitica, Marcianise.""},{""order"":4,""description"":""On arrival, note the return shuttle stop before entering the shops.""},{""order"":5,""description"":""Confirm the last return to Naples before shopping, because older printed schedules may not reflect current operations.""}]",2026-08-03
la-reggia-naples-public-transport,la-reggia,city_center,naples-city-center,train,Napoli Centrale to La Reggia by Train and Outlet Link Bus,,Estimated €5–8 one-way total for train and Outlet Link bus; check current through-ticket fare,true,"[{""order"":1,""description"":""Take an official regional train from Napoli Centrale to Caserta railway station.""},{""order"":2,""description"":""From in front of Caserta railway station, board the AIR Campania / Trenitalia La Reggia Designer Outlet Link bus to the outlet.""},{""order"":3,""description"":""The Outlet Link runs daily and its bus connections are coordinated with train times; check the current official timetable before travel.""},{""order"":4,""description"":""Buy a combined ticket through Trenitalia channels; the one-way connection costs €1.30 and the rail ticket is charged separately.""},{""order"":5,""description"":""Confirm the return Outlet Link bus and regional train before shopping.""}]",2026-08-03
la-reggia-naples-car,la-reggia,city_center,naples-city-center,taxi,"Naples to La Reggia by Car, Taxi, or Private Transfer",≈25–40 min (estimated),≈€8–15 fuel/tolls each way (estimated); taxi/private transfer confirm with provider,false,"[{""order"":1,""description"":""Choose a rental car, taxi, or private transfer from Naples and confirm fare, pickup point, motorway toll handling, and return pickup before departure.""},{""order"":2,""description"":""Travel toward Marcianise; the official outlet page places La Reggia adjacent to the A1 motorway at the Caserta Sud exit.""},{""order"":3,""description"":""Use the outlet parking area or the agreed drop-off at S.P. 336 ex-Sannitica.""},{""order"":4,""description"":""For the return, allow extra time for A1, Caserta Sud, and shopping-period traffic.""}]",2026-07-02
la-reggia-naples-airport-transfer,la-reggia,airport,naples-airport,taxi,"Naples Airport to La Reggia by Taxi, Rental Car, or Private Transfer",≈20–35 min (estimated),Confirm with provider,false,"[{""order"":1,""description"":""From Naples Airport, choose a licensed taxi, rental car, or pre-booked private transfer and confirm fare, meeting point, luggage space, and return pickup.""},{""order"":2,""description"":""Travel toward Marcianise and the A1 Caserta Sud area noted on the outlet's official access page.""},{""order"":3,""description"":""Use La Reggia parking if driving, or agree a drop-off point near the entrance.""},{""order"":4,""description"":""If returning to the airport, reconfirm pickup time before shopping and leave a buffer for security and traffic.""}]",2026-07-02
noventa-venice-atvo-direct-bus,noventa,city_center,venice-city-center,bus,Venice Piazzale Roma to Noventa di Piave by ATVO Direct Bus,About 90 min; check official timetable,€9.20 adult return; children under 6 free; check current booking conditions,true,"[{""order"":1,""description"":""Check the official McArthurGlen/ATVO Noventa bus page and book if required; the outlet lists daily ATVO connections from Venice Piazzale Roma.""},{""order"":2,""description"":""Go to the ATVO departure stop at Venezia Piazzale Roma for the direct Noventa di Piave Designer Outlet service.""},{""order"":3,""description"":""Board the no-change bus and follow the current official timetable.""},{""order"":4,""description"":""Get off at the outlet stop at Via Marco Polo 1 and follow signs to the main entrance.""},{""order"":5,""description"":""Before shopping, confirm your return departure on the official page.""}]",2026-07-02
noventa-mestre-atvo-direct-bus,noventa,station,mestre-station,bus,Mestre Railway Station to Noventa di Piave by ATVO Direct Bus,≈60–75 min (estimated); check official timetable,Return ticket €9.20; children under 6 free,false,"[{""order"":1,""description"":""Check the official ATVO/McArthurGlen timetable for the Mestre railway station stop before travel.""},{""order"":2,""description"":""Go to the Mestre Bus Terminal/Railway Station ATVO stop shown in the current schedule.""},{""order"":3,""description"":""Take the ATVO bus toward Noventa di Piave Designer Outlet; the route also links Venice Piazzale Roma and Marco Polo Airport.""},{""order"":4,""description"":""On arrival, note the exact outlet return stop before entering the shops.""},{""order"":5,""description"":""Use the booked or confirmed return bus to Mestre railway station and allow for traffic.""}]",2026-07-02
noventa-marco-polo-airport-atvo,noventa,airport,venice-marco-polo-airport,bus,Venice Marco Polo Airport to Noventa di Piave by ATVO Direct Bus,≈45–60 min (estimated); check official timetable,Return ticket €9.20; children under 6 free,false,"[{""order"":1,""description"":""Check the official ATVO/McArthurGlen timetable because the direct outlet bus includes Marco Polo International Airport as an intermediate stop.""},{""order"":2,""description"":""Book or confirm your ticket before travel, then go to the ATVO stop at Marco Polo Airport.""},{""order"":3,""description"":""Ride directly to Noventa di Piave Designer Outlet and follow signs from the bus stop to the entrance.""},{""order"":4,""description"":""Confirm the return bus to Marco Polo Airport before shopping, especially if connecting to a flight.""}]",2026-07-02
noventa-venice-car-parking,noventa,city_center,venice-city-center,taxi,Venice Area to Noventa di Piave by Car with Outlet Parking,≈35–50 min (estimated),≈€8–15 fuel/tolls each way (estimated); taxi/private transfer confirm with provider,false,"[{""order"":1,""description"":""From the Venice mainland or Mestre, drive toward Noventa di Piave Designer Outlet at Via Marco Polo 1.""},{""order"":2,""description"":""Follow motorway signs for the Noventa di Piave area and the outlet, then use the official visitor parking.""},{""order"":3,""description"":""During special parking operations, follow the outlet's current extra-parking signs and any free parking shuttle instructions.""},{""order"":4,""description"":""For taxi or private transfer, confirm fare, tolls, and the exact return pickup point before shopping.""},{""order"":5,""description"":""Allow extra time on the return for A4/E70 and Venice access traffic.""}]",2026-07-02
